,number,ca,name,material,location,culture,time,img
117,118,0,"Madonna Enthroned, Giotto (compare with Cimabue)",tempera and gold leaf on wood,Italy,Proto-Italian Renaissance,1310 CE,https://i.ytimg.com/vi/DKnFvXmUlOI/maxresdefault.jpg
118,119,3,"Golden Haggadah (The Plagues of Egypt, Scenes of Liberation, and Preparation for Passover)",illuminated manuscript (pigments and gold leaf on vellum),Barcelona Spain,Jewish,1320 CE,https://cdn.kastatic.org/ka-perseus-images/2235662cbba49ea3deba42c9017b09c1563c3b7e.jpg
119,120,7,"Basin, Baptisterey of St. Louis",brass inlaid with gold and silver,Egypt or Syria,Mamluk,1320 CE,https://www.qantara-med.org/admin/pics_diapo/1393Bassin%20dit%20Baptist%C3%A8re%20de%20Saint%20Louis%20Copyrights%20RMN%20Franck%20Raux%20bis.jpg
120,121,7,"Bahram Gur Fights the Karg, folio from the Great Il-Khanid Shahnama.","ink and opaque watercolor, gold, and silver on paper",Central Asia,Islamic; Persian,1330 CE,https://cdn.kastatic.org/ka-perseus-images/28f590ed692155ea69b8a6ef6894ca6f339c2685.jpg
121,122,8,The David Vases,white porcelain with cobalt-blue underglaze,"Jiangxi province, China",Yuan dynasty,1351 CE,https://cdn.kastatic.org/ka-perseus-images/e905b5d7cb1544443c760ae2c4cdeb1afc24b7cc.jpg
122,123,3,Alhambra,"whitewashed adobe stucco, wood, tile, paint, and gilding","Granada, Spain",Nasrid dynasty,1354 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Dawn_Charles_V_Palace_Alhambra_Granada_Andalusia_Spain.jpg/1200px-Dawn_Charles_V_Palace_Alhambra_Granada_Andalusia_Spain.jpg
123,124,5,Templo Mayor,stone (temple); volcanic stone (The Coyolxauhqui Stone); jadeite (Olmec-style mask); basalt (Calendar Stone),Tenochtitlan. Mexica ,Aztec,1375 CE,https://upload.wikimedia.org/wikipedia/commons/1/19/Templo_Mayor_50.jpg
124,125,8,Forbidden City,"stone masonry, marble, brick, wood, and ceramic tile","Beijing, China",Ming dynasty,1400 CE,https://images.chinahighlights.com/allpicture/2021/07/ba7326f5e3544102917eb2c0_cut_800x500_349.jpg
125,126,0,"Competition panels for baptistery, Florence, Ghiberti, Brunelleschi",gilded bronze,"Florence, Italy",Early Italian Renaissance,1401 CE,https://www.thedigitalartworld.com/wp-content/uploads/2019/09/Ghiberti-Brunelleschi-competition-panels.png
126,127,0,"St. Mark, Donatello",marble,"Florence, Italy",Early Italian Renaissance,1411 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stmark.jpg/250px-Stmark.jpg
127,128,0,"Les Tres Riches Heures de Duc de Berry, Limbourg Brothers",ink on vellulm,France,Northern Renaissance,1413 CE,https://upload.wikimedia.org/wikipedia/commons/8/8a/Les_Tr%C3%A8s_Riches_Heures_du_duc_de_Berry_Janvier.jpg
128,129,8,Portrait of Sin Sukju,hanging scroll (ink and color on silk),Korea,Imperial Bureau of Painting,1417 CE,https://cdn.kastatic.org/ka-perseus-images/c8b3db94dd77fabd932d77e562bacba0492ed346.jpg
129,130,0,Florence Cathedral,"brick, cut stone","Florence, Italy",Italian Gothic,1420 CE,https://upload.wikimedia.org/wikipedia/commons/7/77/Florence_Duomo_from_Michelangelo_hill.jpg
130,131,0,"Holy Trinity, Masaccio",fresco,"Florence, Italy",Italian Renaissance,1424 CE,https://upload.wikimedia.org/wikipedia/commons/d/d2/Masaccio%2C_trinit%C3%A0.jpg
131,132,5,Ruler's feather headdress,feathers (quetzal and cotinga) and gold,Mexica,Aztec,1428 CE,https://upload.wikimedia.org/wikipedia/commons/d/dd/Feather_headdress_Moctezuma_II.JPG
132,133,3,"Pazzi Chapel, Basilica di Santa Croce, Filippo Brunelleschi",masonry,"Florence, Italy",Italian Renaissance,1429 CE,https://upload.wikimedia.org/wikipedia/commons/f/f9/Pazzi_Chapel_Santa_Croce_Apr_2008_P.JPG
133,134,3,"Annunciation Triptych (Merode Altarpiece), workshop of Robert Campin",oil on wood,Netherlands,Northern Renaissance,1432 CE,https://images.metmuseum.org/CRDImages/cl/original/DP273206.jpg
134,135,0,"Ghent Altarpiece, Jan Van Eyck",oil on wood,"Ghent, Belgium",Northern Renaissance,1432 CE,https://cdn.kastatic.org/ka-perseus-images/50a0acb89ba44fd682b604abc2ffb5ccbb0eb529.jpg
135,136,3,"The Arnolfini Portrait, Jan Van Eyck",oil on wood,Belgium,Northern Renaissance,1434 CE,https://upload.wikimedia.org/wikipedia/commons/3/33/Van_Eyck_-_Arnolfini_Portrait.jpg
136,137,5,"City of Cusco, including Qorikancha, Santo Domingo, and Walls at Saqsa Waman",andesite,"Central highlands, Peru",Inka,1440 CE,https://ka-perseus-images.s3.amazonaws.com/e334489c590869411a42ae62f7298ce11341dbfe.jpg
137,138,5,Maize cobs,"sheet metal/repousse, metal alloys","Central highlands, Peru",Inka,1440 CE,https://cdn.kastatic.org/ka-perseus-images/c76e553a1733f94d46ed70e4c50990149a8be9ed.jpg
138,139,3,"David, Donatello",bronze,"Florence, Italy",Early Italian Renaissance,1440 CE,https://upload.wikimedia.org/wikipedia/commons/7/7f/Florence_-_David_by_Donatello.jpg
139,140,3,"Palazzo Rucellai, Leon Battista Alberti","stone, masonry","Florence, Italy",Early Italian Renaissance,1450 CE,https://smarthistory.org/wp-content/uploads/2021/10/RucellaiTiers.jpg
140,141,5,City of Machu Picchu,granite,"Central highlands, Peru",Inka,1450 CE,https://upload.wikimedia.org/wikipedia/commons/e/eb/Machu_Picchu%2C_Peru.jpg
141,142,5,All-T'oqapu tunic,camelid fiber and cotton,"Andes, Peru",Inka,1450 CE,https://smarthistory.org/wp-content/uploads/2019/11/InkaTunic.jpg
142,143,3,"Madonna and Child with Two Angels, Fra Filippo Lippi",tempera on wood,"Florence, Italy",Early Italian Renaissance,1465 CE,https://i.ytimg.com/vi/Ly2-n1KqNko/maxresdefault.jpg
143,144,8,Ryoan-ji ,rock garden,"Kyoto, Japan",Muromachi Period,1480 CE,https://upload.wikimedia.org/wikipedia/commons/f/fc/Kyoto-Ryoan-Ji_MG_4512.jpg
144,145,3,"Birth of Venus, Sandro Boticelli",tempera on canvas,"Florence, Italy",Early Italian Renaissance,1484 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg/1200px-Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg
145,146,3,"Last Supper, Leonardo Da Vinci",oil and tempera,"Milan, Italy",Italian Renaissance,1494 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/The_Last_Supper_-_Leonardo_Da_Vinci_-_High_Resolution_32x16.jpg/640px-The_Last_Supper_-_Leonardo_Da_Vinci_-_High_Resolution_32x16.jpg
146,147,0,"Pieta, Michelangelo",marble,"Rome, Italy",Italian Renaissance,1498 CE,https://upload.wikimedia.org/wikipedia/commons/6/6c/Michelangelo%27s_Pieta_5450_cut_out_black.jpg
147,148,0,"David, Michelangelo",marble,"Florence, Italy",Italian Renaissance,1501 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Michelangelo%27s_David_-_right_view_2.jpg/1200px-Michelangelo%27s_David_-_right_view_2.jpg
148,149,0,"Mona Lisa, Da Vinci",oil on wood,Italy,Italian Renaissance,1503 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg/1200px-Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg
149,150,3,"Adam and Eve, Albrecht Durer",engraving,"Nuremberg, Germany",Northern Renaissance,1504 CE,https://i.guim.co.uk/img/media/c238fa378db8a8916995d34922328ba040cdaa7f/0_9_2154_1292/master/2154.jpg?width=1200&height=900&quality=85&auto=format&fit=crop&s=55aa3b7f06774f487dd39a088db4bcf1
150,151,0,"Garden of Earthly Delights, Bosch",oil on wood,Spain,Early Northern Renaissance,1505 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/The_Garden_of_earthly_delights.jpg/1200px-The_Garden_of_earthly_delights.jpg
151,152,3,"Sistine Chapel ceiling, Michelangelo",fresco,"Vatican city, Italy",Italian Renaissance,1508 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Sistine_Chapel_ceiling_02.jpg/1200px-Sistine_Chapel_ceiling_02.jpg
152,153,3,"School of Athens, Raphael",fresco,"Vatican city, Italy",Italian Renaissance,1509 CE,https://upload.wikimedia.org/wikipedia/commons/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg
153,154,3,"Isenheim altarpiece, Matthias Grunewald",oil on wood,"Colmar, France",Northern Renaissance,1512 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Grunewald_Isenheim1.jpg/300px-Grunewald_Isenheim1.jpg
154,155,0,"tomb of Giuliano de'Medici, Michelangelo",marble,"Florence, Italy",Italian Renaissance,1519 CE,https://cdn.britannica.com/78/2578-050-E3AAE245/tomb-Giuliano-de-Medici-Michelangelo-San-Lorenzo.jpg
155,156,7,"The Court of Gayumars, folio from Shah Tahmasp's Shahnama","ink, opaque watercolor, and gold on paper",Iran; Persia,Safavid dynasty,1522 CE,https://cdn.kastatic.org/ka-perseus-images/627cce03fd3c2a40ac9856558f529b69c9dc8ee8.jpg
156,157,3,"Entombment of Christ, Jacopo Pontormo",oil on wood,"Florence, Italy",Italian Mannerism,1525 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1485219468260/iii-early-europe-and-colonial-americas/78-entombment-of-christ-jacobo-da-pontormo/Screen%20Shot%202017-01-23%20at%207.52.56%20PM.png
157,158,3,"Allegory of Law and Grace, Lucas Cranach the Elder",woodcut and letterpress,Germany,German Renaissance,1530 CE,https://upload.wikimedia.org/wikipedia/commons/e/ef/GOTHA-cranach-veljo.jpg
158,159,3,"Sistine Chapel altar wall, Michelangelo",fresco,"Vatican city, Italy",Italian Renaissance,1534 CE,https://cdn.kastatic.org/ka-perseus-images/2ef31cff9ecaa193b7512b05f62c4e01d3b2e6bc.jpg
159,160,3,"Venus of Urbino, Titian",oil on canvas,"Urbino, Italy",Venetian Renaissance,1538 CE,https://render.fineartamerica.com/images/rendered/small/print/images/artworkimages/square/2/6-venus-of-urbino-titian.jpg
160,161,7,The Ardabil Carpet,silk and wool,Iran ,Islamic; Persian,1539 CE,https://vanda-production-assets.s3.amazonaws.com/2016/05/13/15/19/55/94891de5-189c-4c88-a5ec-f9ab1b09d545/2006AM1085---entire-carpet-(1280).jpg
161,162,3,Frontispiece of the Codex Mendoza,ink and color on paper,Vicerroyalty of New Spain,Aztec,1541 CE,https://cdn.kastatic.org/ka-perseus-images/19e412f9c0816b2cccff76d55417230578f41510.jpg
162,163,6,"Wall plaque, from Oba's palace",cast brass, Benin (Nigeria),Edo peoples,1550 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1538497880496/vi-africa/169-wall-plaque-from-obas-palace/Screen%20Shot%202018-10-02%20at%2012.30.54%20PM.png
163,164,0,"Villa Rotonda, Palladio",terra cotta roof tiles and architecture,"Venice, Italy",Italian Renaissance,1550 CE,https://upload.wikimedia.org/wikipedia/commons/d/d8/Larotonda2009.JPG
164,165,3,"Hunters in the Snow, Pieter Bruegel the Elder ",oil on wood,Belgium,Flemish Renaissance,1565 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Pieter_Bruegel_the_Elder_-_Hunters_in_the_Snow_-_opt.jpg/1280px-Pieter_Bruegel_the_Elder_-_Hunters_in_the_Snow_-_opt.jpg
165,166,3,"Il Gesu, Triumph of the Name of Jesus fresco, Giacomo da Vignola (architect); Giacomo della Porta (façade); Giovanni Battista Gaulli (fresco)","brick, marble, fresco, and stucco","Rome, Italy",Italian Baroque,1568 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1486918090914/iii-early-europe-and-colonial-americas/82-il-ges-including-triumph-of-the-name-of-jesus-ceiling-fresco/Screen%20Shot%202017-02-12%20at%2011.46.23%20AM.png
166,167,3,"Mosque of Selim II, Sinan ",brick and stone ,"Edirne, Turkey",Islamic,1568 CE,https://cdn.kastatic.org/ka-perseus-images/733e50467d354d9de6fee9dc3b8c732353753aee.jpg
167,168,3,"Calling of Saint Matthew, Caravaggio",oil on canvas,"Rome, Italy",Italian Baroque,1597 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/The_Calling_of_Saint_Matthew-Caravaggo_%281599-1600%29.jpg/1200px-The_Calling_of_Saint_Matthew-Caravaggo_%281599-1600%29.jpg
168,169,0,"St. Peters, Vatican","marble, bronze","Vatican city, Italy",Italian Baroque,1606 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg/1200px-Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg
169,170,0,"Judith Beheading Holofernes, Gentileschi",oil on canvas,Italy,Italian Baroque,1614 CE,https://ka-perseus-images.s3.amazonaws.com/c7c9e80c309a6e17daebdf461c4374ec3ee0aa20.jpg
170,171,8,"Jahangir Preferring a Sufi Shaikh to Kings, Bichitr","watercolor, gold, and ink on paper",South Asia,Mughal dynasty,1620 CE,https://ka-perseus-images.s3.amazonaws.com/8451424fb635b11aa1163758dab84183586e94a7.jpg
171,172,3,"Henry IV Receives portrait of Marie de'Medici, Peter Paul Rubens",oil on canvas,"Paris, France",French Baroque,1621 CE,https://cdn.kastatic.org/ka-perseus-images/755b7b88057c020b986ac2f05e8ea46b1452a654.jpg
172,173,0,"Anatomy Lesson of Dr. Tulp, Rembrandt",oil on canvas,Amsterdam,Dutch Baroque,1632 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Rembrandt_-_The_Anatomy_Lesson_of_Dr_Nicolaes_Tulp.jpg/1200px-Rembrandt_-_The_Anatomy_Lesson_of_Dr_Nicolaes_Tulp.jpg
173,174,8,Taj Mahal,stone masonry and marble with inlay of precious and semiprecious stones; gardens,"Agra, Uttar Pradesh, India",Mughal empire,1632 CE,https://cdn.britannica.com/86/170586-050-AB7FEFAE/Taj-Mahal-Agra-India.jpg
174,175,3,"Self Portrait with Saskia, Rembrandt van Rijn",etching,Amsterdam,Dutch Baroque,1636 CE,https://cdn.kastatic.org/ka-perseus-images/4e4f8915a7fce5cfafa724c4ecedf04c22bb13ca.jpg
175,176,3,"San Carlo Alle Quattro Fontane, Francesco Borromini",stone and stucco,"Rome, Italy",Italian Baroque,1646 CE,https://3.bp.blogspot.com/-JFRd8a_2I4A/Vsr-yzFS0yI/AAAAAAAAGpg/-mQYuEvCUaw/s1600/IMG_0075.jpg
176,177,3,"Ecstasy of St Theresa, Cornaro Chapel, Church of Santa Maria della Vittoria, Gion Lorenzo Bernini",marble (sculpture); stucco and gilt bronze (chapel),"Rome, Italy",Italian Baroque,1647 CE,http://blogs.cuit.columbia.edu/deb2170/files/2014/12/The-Ecstasy-of-St-Teresa1.jpg
177,178,3,"Angel with Arquebus, Asiel Timor Dei, Master of Calamarca (la Paz School)",oil on canvas,Peru,Spanish colonial,1650 CE,https://cdn.kastatic.org/ka-perseus-images/ed31076b997b5fb35a42a148f1bcc71f70c95c71.jpg
178,179,3,"Las Meninas, Diego Velazquez",oil on canvas,Spain,Spanish Baroque,1656 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Las_Meninas%2C_by_Diego_Vel%C3%A1zquez%2C_from_Prado_in_Google_Earth.jpg/1200px-Las_Meninas%2C_by_Diego_Vel%C3%A1zquez%2C_from_Prado_in_Google_Earth.jpg
179,180,3,"Woman Holding a Balance, Johannes Vermeer",oil on canvas,Netherlands,Dutch Baroque,1664 CE,https://media.nga.gov/iiif/5f6353f9-cfbf-404f-800a-b14be1b42734/full/full/0/default.jpg?attachment_filename=woman_holding_a_balance_1942.9.97.jpg
180,181,3,"The Palace at Versailles, Louis Le Vau and Jules Hardouin-Mansart","masonry, stone, wood, iron, and gold leaf (architecture); marble and bronze (sculpture); gardens","Versailles, France",French Baroque (style of Louis XIV),1669 CE,https://d7hftxdivxxvm.cloudfront.net/?resize_to=width&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F3bcWYv3Ldmg_jdMEXxw2QQ%2Flarger.jpg&width=1200&quality=80
181,182,3,"Screen with Siege of Belgrade and hunting scene, circle of the Gonzalez family","tempera and resin on wood, shell inlay",Mexico,Spanish colonial,1697 CE,https://upload.wikimedia.org/wikipedia/commons/e/e2/Gonz%C3%A1lez_Family_biombo_enconchado_of_Hunting_Scene_%28with_Siege_of_Belgrade_on_reverse%29_c._1697-1701.jpg
182,183,3,"The Virgin of Guadalupe, Miguel Gonzalez","oil on canvas on wood, inlaid with mother-of-pearl",Mexico City,Spanish colonial,1698 CE,https://smarthistory.org/wp-content/uploads/2017/08/ma-5847.jpg
183,184,6,Sika Dwa kofi,gold over wood and cast-gold attachments,"Ghana, Africa",Ashanti peoples,1700 CE,https://cdn.kastatic.org/googleusercontent/h4BR1iKhZZcZ_tXrcmto1_aBh8pulvRXb2GU56wO4uBZJogGLCdayePp8Qu990gNVv53PA8mvRfFSD7kWO5ybv9TPw
184,185,0,"Louis XIV, Rigaud",oil on canvas,"Paris, France",French Baroque (style of Louis XIV),1701 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Louis_XIV_of_France.jpg/270px-Louis_XIV_of_France.jpg
185,186,8,"White and Red Plum Blossoms, Ogata Korin","ink, watercolor, and gold leaf on paper",Japan,japanese,1710 CE,https://cdn.kastatic.org/ka-perseus-images/1161669b805ea3ad2d59797c37515e1b82bbe2da.jpg
186,187,3,"Fruit and Insects, Rachel Ruysch",oil on wood,Amsterdam,Dutch Baroque,1711 CE,https://smarthistory.org/wp-content/uploads/2018/08/Ruysch-Fruit-and-insects-1711-thumb.jpg
187,188,3,"Spaniard and Indian Produce a Mestizo, Juan Rodriguez Juarez",oil on canvas,Mexico,Spanish colonial,1715 CE,https://smarthistory.org/wp-content/uploads/2021/01/rodriguez-juarez-casta-brearmore.jpg
188,189,3,"The Tete a Tete, from Marriage a la Mode, William Hogarth",oil on canvas,England,English Rococo,1743 CE,https://render.fineartamerica.com/images/rendered/default/acrylic-print/8/6/hangingwire/break/images-medium-5/marriage-a-la-mode-the-tete-a-tete-william-hogarth.jpg
189,190,4,"Portrait of Sor Juana Ines de la Cruz,Miguel Cabrera",oil on canvas,Mexico,Spanish colonial,1750 CE,https://cdn.kastatic.org/ka-perseus-images/40915f33030ace362feb6ea7874caadac6762374.jpg
190,191,6,Ndop of King Mishe miShyaang Mbul,wood,Democratic Republic of the Congo,Kuba peoples,1760 CE,https://cdn.kastatic.org/ka-perseus-images/fdb062fb86a31f6d91cf6f5882f5ce718851720b.jpg
191,192,4,"A Philosopher Giving A Lecture at the Orrery, Joseph Wright of Derby",oil on canvas,England,English Enlightenment,1763 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Wright_of_Derby%2C_The_Orrery.jpg/1200px-Wright_of_Derby%2C_The_Orrery.jpg
192,193,4,"The Swing, Jean-Honore Fragonard",oil on canvas,France ,French Rococo,1767 CE,https://smarthistory.org/wp-content/uploads/2021/02/49758842643_90850f9150_k.jpg
193,194,4,"Monticello, Thomas Jefferson","brick, glass, stone, and wood","Virginia, United States",American Neoclassical,1768 CE,https://monticello-www.s3.amazonaws.com/files/pages/square-xsml-annual-pass-monticello-25oct17-jlooney-0044.jpg
194,195,4,"The Oath of the Horatii, Jacques-Louis David",oil on canvas,France,French Neoclassical,1784 CE,https://smarthistory.org/wp-content/uploads/2016/01/davidoathsm.jpg
195,196,4,"George Washington,Jean-Antoine Houdon",marble,United States,American Neoclassical,1788 CE,https://cdn.kastatic.org/ka-perseus-images/6315349e33cafedc8c32947647f708f9d4adeb97.jpg
196,197,4,"Self Portrait,Elisabeth Louise Vigee Lebrun",oil on canvas,Italy,Italian Rococo,1790 CE,https://collectionapi.metmuseum.org/api/collection/v1/iiif/656845/1463950/restricted
197,198,9,"Ahu ula, feather cape",feathers and fiber,Hawaii,Polynesian,1790 CE,https://cdn.kastatic.org/ka-perseus-images/a201873c26f21792db2948a736713555a5649f79.jpg
198,199,0,"The Death Of Marat, David",oil on canvas,France,French Neoclassical,1793 CE,https://www.researchgate.net/profile/Guilherme-Lima-23/publication/337438956/figure/fig1/AS:827879306850304@1574393216878/The-Death-of-Marat-detail-by-Jacques-Louis-David-1793-WikiMedia.png
199,200,9,Staff god,"wood, tapa, fiber, and feathers","Rarotonga, Cook Islands, central Polynesia.",Polynesian,1800 CE,https://cdn.kastatic.org/ka-perseus-images/e1afabe89d0fbfdea1fa70fa89775b860e907453.jpg
